iter	Passed	Remaining
242	403	1256
243	404	1254
244	406	1252
245	408	1250
246	409	1248
247	411	1246
248	412	1245
249	414	1243
250	416	1241
251	417	1240
252	419	1238
253	421	1237
254	422	1235
255	424	1234
256	426	1232
257	428	1231
258	429	1229
259	431	1228
260	433	1228
261	436	1228
262	438	1227
263	440	1227
264	442	1226
265	443	1225
266	445	1224
267	447	1222
268	449	1221
269	451	1220
270	453	1219
271	455	1218
272	457	1217
273	459	1216
274	460	1214
275	462	1212
276	464	1211
277	466	1210
278	467	1208
279	469	1207
280	471	1205
281	472	1203
282	474	1202
283	476	1200
284	477	1198
285	479	1196
286	480	1194
287	482	1193
288	485	1193
289	487	1192
290	488	1191
291	490	1189
292	492	1187
293	493	1185
294	495	1183
295	496	1181
296	498	1180
297	500	1180
298	502	1178
299	504	1177
300	506	1175
301	507	1174
302	509	1172
303	511	1170
304	512	1167
305	514	1166
306	515	1164
307	517	1162
308	519	1161
309	521	1159
310	522	1157
311	524	1155
312	525	1153
313	527	1151
314	528	1149
315	530	1148
316	532	1147
317	534	1145
318	535	1143
319	537	1141
320	538	1139
321	540	1138
322	541	1135
323	544	1135
324	545	1133
325	547	1132
326	549	1131
327	551	1129
328	552	1126
329	554	1124
330	555	1122
331	557	1120
332	558	1118
333	560	1117
334	562	1115
335	563	1113
336	565	1111
337	566	1109
338	568	1107
339	569	1105
340	571	1103
341	572	1101
342	574	1099
343	575	1098
344	577	1096
345	579	1095
346	581	1094
347	583	1093
348	585	1091
349	586	1089
350	588	1087
351	589	1085
352	591	1083
353	593	1082
354	594	1080
355	596	1078
356	598	1077
357	599	1075
358	601	1074
359	603	1072
360	604	1070
361	606	1068
362	607	1066
363	609	1064
364	611	1063
365	613	1062
366	614	1060
367	616	1058
368	617	1056
369	619	1054
370	621	1053
371	622	1051
372	624	1049
373	626	1048
374	628	1046
375	630	1045
376	631	1043
377	632	1041
378	634	1039
379	636	1038
380	637	1036
381	639	1034
382	641	1032
383	643	1031
384	644	1030
385	646	1028
386	647	1026
387	649	1024
388	651	1022
389	652	1020
390	654	1019
391	656	1018
392	658	1016
393	659	1014
394	661	1012
395	662	1010
396	664	1009
397	666	1007
398	667	1005
399	669	1004
400	671	1002
401	672	1000
402	674	998
403	675	996
404	677	995
405	679	993
406	680	991
407	682	989
408	683	988
409	685	986
410	687	985
411	689	983
412	690	981
413	692	979
414	693	977
415	695	976
416	696	974
417	698	972
418	700	970
419	702	969
420	704	968
421	706	967
422	707	965
423	709	963
424	710	961
425	712	960
426	714	958
427	715	956
428	717	955
429	719	953
430	721	952
431	722	950
432	724	948
433	726	947
434	727	945
435	729	943
436	730	941
437	732	940
438	734	938
439	736	937
440	737	935
441	739	933
442	740	931
443	742	929
444	743	927
445	745	925
446	747	924
447	748	922
448	750	921
449	752	919
450	753	917
451	755	915
452	756	913
453	758	911
454	759	910
455	761	908
456	763	906
457	764	905
458	766	903
459	768	901
460	769	900
461	771	898
462	773	896
463	775	896
464	777	894
465	778	892
466	780	890
467	782	889
468	784	887
469	785	886
470	787	884
471	789	882
472	790	880
473	792	879
474	794	877
475	795	875
476	797	874
477	798	872
478	800	870
479	801	868
480	803	866
481	804	864
482	806	863
483	808	861
484	809	859
485	811	858
486	813	856
487	815	855
488	817	853
489	818	852
490	820	850
491	821	848
492	823	846
493	825	845
494	826	843
495	828	841
496	830	840
497	831	838
498	833	836
499	834	834
500	836	832
501	837	831
502	839	829
503	840	827
504	842	825
505	843	823
506	845	822
507	847	820
508	848	818
509	850	816
510	851	815
511	853	813
512	854	811
513	856	809
514	857	807
515	859	805
516	860	804
517	862	802
518	864	800
519	865	799
520	867	797
521	869	795
522	870	794
523	872	792
524	874	791
525	876	790
526	878	788
527	880	786
528	881	785
529	883	783
530	885	781
531	886	780
532	888	778
533	889	776
534	891	774
535	893	773
536	894	771
537	896	769
538	898	768
539	899	766
540	901	764
541	902	762
542	904	761
543	906	759
544	907	757
545	909	756
546	911	754
547	912	752
548	914	751
549	915	749
550	917	747
551	919	745
552	920	744
553	922	742
554	924	741
555	926	739
556	927	737
557	929	736
558	931	734
559	933	733
560	935	731
561	936	729
562	938	728
563	939	726
564	941	725
565	943	723
566	944	721
567	946	719
568	948	718
569	950	716
570	951	714
571	953	713
572	954	711
573	956	710
574	958	708
575	960	706
576	961	705
577	963	703
578	964	701
579	966	699
580	968	698
581	969	696
582	971	694
583	973	693
584	975	691
585	976	690
586	978	688
587	979	686
588	981	684
589	982	683
590	984	681
591	985	679
592	987	677
593	988	675
594	990	674
595	991	672
596	993	670
597	994	668
598	996	666
599	997	665
600	999	663
601	1000	661
602	1001	659
603	1003	657
604	1005	656
605	1006	654
606	1008	652
607	1009	650
608	1011	649
609	1012	647
610	1013	645
611	1015	643
612	1016	642
613	1018	640
614	1019	638
615	1021	636
616	1022	634
617	1024	633
618	1025	631
619	1027	629
620	1028	627
621	1029	625
622	1031	624
623	1032	622
624	1034	620
625	1035	618
626	1037	617
627	1038	615
628	1040	613
629	1041	611
630	1043	610
631	1044	608
632	1046	606
633	1047	604
634	1049	603
635	1050	601
636	1052	599
637	1053	597
638	1055	596
639	1056	594
640	1058	592
641	1059	590
642	1061	589
643	1062	587
644	1064	585
645	1065	583
646	1067	582
647	1068	580
648	1069	578
649	1071	577
650	1073	575
651	1074	573
652	1076	571
653	1077	570
654	1079	568
655	1080	566
656	1081	564
657	1083	563
658	1084	561
659	1086	559
660	1087	557
661	1089	556
662	1090	554
663	1092	552
664	1093	551
665	1095	549
666	1096	547
667	1098	545
668	1099	544
669	1101	542
670	1102	540
671	1104	538
672	1105	537
673	1106	535
674	1108	533
675	1109	531
676	1111	530
677	1112	528
678	1114	526
679	1115	525
680	1117	523
681	1118	521
682	1120	519
683	1121	518
684	1122	516
685	1124	514
686	1125	512
687	1127	511
688	1128	509
689	1130	507
690	1131	506
691	1133	504
692	1134	502
693	1136	501
694	1137	499
695	1139	497
696	1140	495
697	1142	494
698	1143	492
699	1145	490
700	1146	489
701	1148	487
702	1149	485
703	1151	483
704	1152	482
705	1153	480
706	1155	478
707	1156	477
708	1158	475
709	1159	473
710	1161	472
711	1162	470
712	1164	468
713	1165	466
714	1167	465
715	1168	463
716	1170	462
717	1171	460
718	1173	458
719	1175	457
720	1176	455
721	1178	453
722	1179	451
723	1180	450
724	1182	448
725	1183	446
726	1185	445
727	1186	443
728	1188	441
729	1189	440
730	1191	438
731	1192	436
732	1194	434
733	1195	433
734	1197	431
735	1198	429
736	1200	428
737	1201	426
738	1203	424
739	1204	423
740	1205	421
741	1207	419
742	1208	418
743	1210	416
744	1211	414
745	1213	413
746	1214	411
747	1216	409
748	1217	408
749	1219	406
750	1220	404
751	1222	403
752	1223	401
753	1224	399
754	1226	397
755	1227	396
756	1229	394
757	1230	392
758	1232	391
759	1233	389
760	1235	387
761	1236	386
762	1238	384
763	1239	382
764	1241	381
765	1242	379
766	1244	377
767	1245	376
768	1247	374
769	1248	372
770	1249	371
771	1251	369
772	1252	367
773	1254	366
774	1255	364
775	1257	362
776	1258	361
777	1260	359
778	1261	357
779	1263	356
780	1264	354
781	1265	352
782	1267	351
783	1269	349
784	1270	348
785	1272	346
786	1273	344
787	1275	343
788	1276	341
789	1278	339
790	1279	338
791	1281	336
792	1282	334
793	1284	333
794	1285	331
795	1287	329
796	1288	328
797	1290	326
798	1291	325
799	1293	323
800	1294	321
801	1296	320
802	1297	318
803	1299	316
804	1300	315
805	1302	313
806	1303	311
807	1305	310
808	1306	308
809	1308	306
810	1309	305
811	1311	303
812	1312	301
813	1314	300
814	1315	298
815	1317	296
816	1318	295
817	1319	293
818	1321	292
819	1323	290
820	1324	288
821	1326	287
822	1327	285
823	1329	283
824	1330	282
825	1331	280
826	1333	278
827	1334	277
828	1336	275
829	1337	274
830	1339	272
831	1340	270
832	1342	269
833	1343	267
834	1345	265
835	1346	264
836	1348	262
837	1349	260
838	1351	259
839	1352	257
840	1354	256
841	1355	254
842	1357	252
843	1358	251
844	1360	249
845	1361	247
846	1363	246
847	1364	244
848	1366	242
849	1367	241
850	1369	239
851	1371	238
852	1372	236
853	1374	234
854	1375	233
855	1376	231
856	1378	229
857	1379	228
858	1381	226
859	1382	225
860	1384	223
861	1385	221
862	1387	220
863	1388	218
864	1390	216
865	1391	215
866	1393	213
867	1394	212
868	1395	210
869	1397	208
870	1398	207
871	1400	205
872	1401	203
873	1403	202
874	1404	200
875	1406	199
876	1407	197
877	1408	195
878	1410	194
879	1411	192
880	1413	190
881	1414	189
882	1416	187
883	1417	186
884	1419	184
885	1420	182
886	1422	181
887	1423	179
888	1424	177
889	1426	176
890	1427	174
891	1429	173
892	1430	171
893	1432	169
894	1433	168
895	1435	166
896	1436	164
897	1438	163
898	1439	161
899	1441	160
900	1442	158
901	1444	156
902	1445	155
903	1447	153
904	1448	152
905	1449	150
906	1451	148
907	1452	147
908	1454	145
909	1455	143
910	1457	142
911	1459	140
912	1460	139
913	1462	137
914	1463	135
915	1464	134
916	1466	132
917	1468	131
918	1469	129
919	1471	127
920	1472	126
921	1474	124
922	1475	123
923	1477	121
924	1478	119
925	1479	118
926	1481	116
927	1482	115
928	1484	113
929	1485	111
930	1487	110
931	1488	108
932	1490	107
933	1491	105
934	1493	103
935	1494	102
936	1496	100
937	1497	98
938	1498	97
939	1500	95
940	1501	94
941	1503	92
942	1504	90
943	1506	89
944	1507	87
945	1509	86
946	1510	84
947	1512	82
948	1513	81
949	1515	79
950	1516	78
951	1517	76
952	1519	74
953	1520	73
954	1522	71
955	1523	70
956	1525	68
957	1526	66
958	1528	65
959	1529	63
960	1531	62
961	1532	60
962	1534	58
963	1535	57
964	1537	55
965	1538	54
966	1540	52
967	1541	50
968	1543	49
969	1544	47
970	1546	46
971	1547	44
972	1549	42
973	1550	41
974	1552	39
975	1553	38
976	1555	36
977	1556	35
978	1558	33
979	1559	31
980	1561	30
981	1562	28
982	1564	27
983	1565	25
984	1567	23
985	1568	22
986	1570	20
987	1571	19
988	1573	17
989	1574	15
990	1575	14
991	1577	12
992	1578	11
993	1580	9
994	1581	7
995	1583	6
996	1584	4
997	1586	3
998	1587	1
999	1589	0
